Timestamp,In which GWF campus are you currently enrolled? ,Please indicate how the programme is meeting your expectations this year: ,Please describe 3 positive aspects of the programme that you have experienced this year. ,Name 3 challenges you have experienced in the programme so far.,How could we improve the BYA Programme?,Did you find your stationery packs useful?,What is the most important thing you have learnt about yourself this year so far? ,What will you do differently in the second half of the year? ,Are you likely to recommend this programme to others? ,Please give a reason for your answer above. ,Feel free to share a message with your BYA Team (Facilitators and Coordinator).,Feel free to share a message with the 2024 FA Students. (PDLC students to leave this question blank)
7/17/2024 10:47:32,Justicia Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1.Learning new things
2.Developing certain skills
3.Improving in English","1.Not being able to speak in front of people
2.Time management
3.Typing fast  ",Providing more computers,Yes,I can speak English fluently when my confidence is boosted,Managing my time and working hard,Yes,Useful skills are developed and new important things are learnt,Please be patient with us ,Let's all strive for success
7/17/2024 10:47:37,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"self confidence, communication skills and experience about computer.",my challenges is to stand in front of people and present.,To  teach us more information about computer and communication skills.,Yes,I learn  to communicate with other people.,I build my self confidence,Yes,To  learn how can use computer and to build self confidence,My  BYA team   are good for us and teach us very well.,FA students are good for us .because they help us when they did not understand something.
7/17/2024 10:48:16,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1 communication
2 Behave
3 Respect","1 Not able to present in front the class
2 My typing skills
3 Failing my presentation exam",I think they must improve by providing the Generator in every campuses,Yes,The most important thing I have learn about myself it  that I was a person who was not able share information but ever since I have came to GWF I learn lots of things.,I will put more effort on the modules that are left and study hard so that I can achieve my goal.,Yes,Because they will gain more skills and knowledge and able to communicate in a good manner.,I will say to the facilitators and Coordinator that must keep doing the good work to the students who are coming to GWF to learn because they are gaining more skills and most people out there they are happy about  the work you are doing.,I will say they must be open up feel free to share information or problem that you have because they here to help us where we are struggling.
7/17/2024 10:49:08,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1.Bieng kind to others
2.Good communication
3.Respect","1.I was struggling on Word processing that is why i fail my exam
2.I cant stand in front of people and present i am shy
3.My typical skills",I think they must improve by having Generators in the campus ,Yes,The most important things i have learnt this year is to communication with others in a good way and to respect one another in this campus because we are all here to learn and gain more knowledge.,I will like to improve in my modules ,Yes,Because here at GWF i have gained more knowledge and i have learn lots of things and i will like them to gain knowledge.,The message i would like to share with a facilitators and coordinator i would like to thanks them for not giving up on me i was a slow learner in class. They must keep up their good work.,I feel free to share this message with Student by helping me practicing Excel was difficult to me and the student didn't give up on me.
7/17/2024 10:49:24,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1. Skills development
2. Self confidence
3. Gain knowledge","1. Lack of self confidence
2.Slowly to catch up
3. Not able to raise a point or a view",By increasing the time so that it become 3 hours and 30mins so that we have enough time to learn.,Yes,Is that I am a philosopher.,Change my attitude by staying behind for at least 30mins to revise what I learn.,Yes,Because it build our self confidence and build our knowledge.,The BYA will remain the best team to build our knowledge and skill.,The FA students were perfectly great and was amazing being help by them.
7/17/2024 10:49:30,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1 Gain knowledge 
2self respect
3self confidence","1Lake of self confidence
2slowly to catch up 
3 Not able to speak",By increasing  the time of writing test to be 1hour because 45 minutes is not enough.,Yes,I have learn that I can be the best when I  keep on trying to speak English.,I will come early so that I can revise and gain more skills.,Yes,it build up our knowledge.,The BYA team  will always be  the best team they help us to build up more skills and be self confidence.,The FA students they are very  great they motivates us  and when we are struggling they help us.
7/17/2024 10:50:16,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1. kindness
2.new skills
3. communication and socializing with people","1. speaking English
2. standing in front of my classmates
3. time management",Being connected to Wi-Fi so that we will be able to have access to the internet to research more about what we learn ,Yes,I am a good listener and I have a confidence,working more harder,Yes,There are more things to learn beside using a computer,Thanks for your patience and kindness,Continue working hard until you become facilitators
7/17/2024 10:50:18,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1Self confidence
2Knowledge to Computer
3Irrespective","1Lack of speaking proper English in the classroom
2Being organized
3Slow learning",Provide more than 25 computers in the classroom.,Yes,I have a heart to other mates.,To be a fast learner.,Yes,Because it only allows to pay R700 and the other you may be funded.,Love each other in other to make a great team.,Put more effort where you are being challenged.
7/17/2024 10:50:30,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,1. I got to know how to use a computer. 2. I learned so much things 3. I passed all of my three modules. ,1. Not having enough money to pay for my school fees. 2. I was scared to speak in front of my classmates. 3. Shyness.,The student must be connected with the wi-fi.,Yes,I've learnt that I can speak in front of people,I will arrive at 08:30 and practice.,Yes,I tell them that they will get help.,"You've inspired me a lot, thank you.",You did well on your 3 modules.
7/17/2024 10:50:31,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"I experience self confidence
I experience  communication skills
I experience about  computer ","

Computer are working slow ",They should add more time for the lesson and add more numbers of student,Yes,My personality type,I will apply jobs and learner ship,Yes,Because at good work foundation we learn more things and we also gain more knowledge and as student we are with there service. ,Your BYA term they treat us well and they give us good education,It was a good oppositely to meet you all and i wish all luck
7/17/2024 10:51:09,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"1. l have improved myself confidence, 
2. reading skill
3. time management",1. sometimes l use to find it difficult to stand in front of other learners presenting,By teaching  us more information that is more useful and also give us time to understand everything,Yes,l have learn that l am not a dome is just that l have not been giving myself time to understand who lm l and what l want,lm not sure about that as thing did not go as l have aspected it but l will be busy with my studies applying  hospitality,Yes,Because good work foundation its good and we learn lot of thing and its an second option to everyone,facilitator and coordinator are good people who care about our future,2024 student are the best student ever
7/17/2024 10:51:59,Huntington Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"good communication skills,
 kind 
 friendly","since I came here some of the facilitators they give us bad attitudes
sometimes they extend us to attend class of 1oucle while we dont need it
sometimes  when we are late they disqualify us ",giving us more works,Yes,I'm not a failure ,Hospitality,Yes,for them to learn more about computer(ICDL),We appreciate the effort you are giving us as a team keep it up,We also appreciate you guys for assisting the facilitators in training
7/17/2024 10:52:15,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1. learning to communicant with other people 
2. respect each other
3.bring proud of my self","1.bring struggling to speak English
2.trying to be fast
3.time management",I think they must improve by having generator in the computer,Yes,The important things i have learnt is to speak English and to have good skills of communication of people.,1. I want to speak more English and to be at school in time.,Yes,Because here at Gwf  I have learnt different things like to communicant with other people and having knowledge,to me the BYA team are very good, I feel free to share this message with students by helping me to practicing word was so difficult to me and i did not make it
7/17/2024 10:52:55,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"New people, handling computer and knowledge with database.",Difficulty of using a computer,By putting solar system for the BYA to proceed with learning even if the electricity has shutdown.,Yes,I don`t have self confidence.,I will be confidence to whatever am doing.,Yes,Because people should know how to use computer,I wanna appreciate the way the facilitators are treating us from the start of the BYA,I wanna appreciate and let you know that you are best students I have learnt with.
7/17/2024 10:53:12,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,how to use computer,No chellanges ,Everything is ok,Yes,To have confidence around lots of people,To study tour guide,Yes,Because GWF does not allow facilitators or student to make others feel uncomfortable,To my facilitators and coordinators i thank all you for being there for me before joining GWF i was lacking confidence but now i'm able to stand in front of lots of people and talk and i've learnt how to use computer all thanks to my beloved facilitators and coordinators continue showing that humanity to other students,To my FA student i thank you for helping me when i was struggling
7/17/2024 10:53:31,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.," good communication 
good education 
health and safety place ","On my first module it was difficult for me because I was didn't know to use computer .
It was hard for me to listen because I was scared to touch computer.
The challenge that I have even now it's to stand in front of people . ",by giving us the t-shirts.,Yes,To improved my English and I have learnt to have a self-confident .,I will continue working hard and put more efforts on my studies and do better .,Yes,because as youth it would help them to know they selves and I Want them to improved their English and have the better CVs when they are applying ., I would like to appreciate You for helping me and being good on me and I wish you should continue with that hearts. ,I would like to appreciate you guys for helping us while we don't understand anything we really appreciate your kindness.
7/17/2024 10:54:09,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"computer , respect and  English ",No chellanges ,By doing good and our concetration ,Yes,"My self respect , my values and carreer",Improving my marks ,Yes,Because Good Work Foundation Certificate can help on peoples life and being entering her can change your personal behaviour and also got improvements on everything,okay,
7/17/2024 10:54:12,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Good accommodation
Good education
Safe and healthy place 

","Being late
Being a slowly to adapt new module 
Exam stress
 ",Give us T-shirt and caps to wear when we attend during the week ,Yes,To be self confidence on my doing my work and know how to set up my goals ,Pass all my modules with high percentages,Yes,So that they can have more access to computer and also learn more about how to set up they goals like me,"I thank all my facilitators and coordinator to stay good and be soft on us as we slowly adapt 
 new modules while we are learning and they take  time give it to us if extra lesson ",I would like to say all students must work hard so that we pass all our module so we can all graduate at the end of the year
7/17/2024 10:54:19,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"good accommodation
good education 
safe and health place
",pressure of exams ,giving us t-shirt and caps ,Yes,Being able to use computer and learn many more things in this campus,Giving more effort on my modules and getting high marks,Yes,"Yes, to come and learn and have passion",Being great fully to have my  teams like them we communicate nice ,Much appreciated to have the 2024 FA Students 
7/17/2024 10:54:25,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"computer
English
Excel","Employability
Ready to work
Bite size",By making sure that all student are able to login on all the Programmes and assist us whenever we are facing difficulties ,Yes,I have learnt that I have values and careers as well as goals ,I will be studying at the university of TUT or other universities that I would have applied,Yes,Because I often recommend this Programme from others in different places and they always  led to graduating and getting a certificate,Okay,
7/17/2024 10:55:25,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"good education and safe place ,accommodation",lack of self confident  not give a chance to prove my self to writing modules because I was not ready ,by give us T-shirts,Yes,hard work give good results and be positive to everything pays,"be focus and be a hard work , manage to understand questions so that I can pass my modules that I did not writing",Yes,because they provide good results and hard work is always be the first goal,never give up team your work brings good results and change people lives ,Thank you for your help when we are struggling with some tasks we appreciate your kindness
7/17/2024 10:56:00,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1 Self confidence
2 Good communication
3 Always focused to my studies","1 Attending early classes
2 Not doing ICDL because of load shedding
3 Paying my school fee on time while it was not easy for me to raise the amount","About the load shedding , it will be good if you supply generators to the campus.",Yes,"I've learnt my values, weaknesses and my strength and also the best career that suit me.","I will try my best to speak English in class , so that I will avoid grammas when I speak.",Yes,I will recommend this programme to others because I want them to know themselves better such as careers and their values as well as the ICDL.,The BYA Team is the best team that I've never seen before. They are supportive and kind to us. They try their best to help to give comfort and affection and we feel satisfied about that.What makes me proud about them is because they are a good team.,I hope you guys will be also kind and supportive as much as the BYA Team act to us. I also hope that you will give much effort to the BYA Students by assisting them in a good way.
7/17/2024 10:56:08,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I've learned how to stand in front of people.
My English is Improved.
I've gain self confidence.","Standing in front of people.
The 45 minutes time that I was given to write my exam.
Choosing career.",By adding other courses in the Campuses,Yes,I've learned that I can Speak English in front of people.,I will improve my studies.,Yes,Because many people are interested to study at BYA.,I don't have any message for them so far.,"I am very lucky to meet them, They helped me during my struggle regarding ICDL."
7/17/2024 10:57:53,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I have developed more self confidence, I am more motivated and I have become more flexible.","I was having lack of self confidence , being a slow learner and exam stress.",By giving us students T-shirts from GWF,Yes,I've learnt that I am a very hard working person and if I put more effort to my work I will make it.,"I will put more effort to my work, be focused at my work and be always at school in time so that I will continue passing my other modules like before with good marks.",Yes,"because if they also come to GWF they will gain more knowledge, know how to use a computer and gain self confidence and they will improve their English. ",Thank you for being our best facilitators and the love and patience keep doing the good job you are doing for us.,I appreciate you guys for being my best brothers and sisters in hard and easy times and for the love and patience you have with me and helping me with all my problems in my modules. 
7/17/2024 10:58:04,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"Safety, communicating skill and motivations  ","Lack of confidence, slow learner  and exam stress ",They must provide us as students with GWF T-shirts.,Yes,I must follow my dream and also achieve what I want.,"I will engage myself more to my studies, pay more attention to my facilitator when teaching us.",Yes,"Because the program help you to know your self better, you find who you are it it gives you better life. "," Dear our Facilitators and  Coordinator, thank you for the love, patience you have for us as students.","Dear our 2024 FA Students, thank you for the effort you have put to our studies, how you have helped us as students."
7/17/2024 10:59:11,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I improved my English.
I can stand in front of people and talk.
I know what I want in life.","The quality of the school bags.
",Bring school bags that have good quality.,Yes,I must not give up in life.,I will study hard so I can improve my results.,Yes,This program  take you from nowhere to somewhere. ,I do feel free because when I have a problem I go to them and they assist in many ways.,I will advice them to come next year and study they wont regret at the end.
7/17/2024 10:59:34,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I gain confidence
became more flexible
more motivated
",Being late in class,By providing T-shirts and caps for student,Yes,I have learnt that I am more flexible than  I think and have confidence,Giving more effort in my work ,Yes,Because here is where you gain more confidence and learn new things,To my BYA Team thank you for being there for us as student and being there for us,Thank you for your support and being there for me
7/17/2024 11:00:23,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I need to  experienced modules.
safe and health place.","I have many challenge when  I read.

To arrive late.",By provide  T-shirts,Yes,I have learn many things in this campus and  also have self-confidence,I want  achieve everything that I got it in this campus and now I am feel good for  everything.,Yes,you have more information in this campus because I have Many  access and also achieve all my  things. ,I am happy because all my facilitators an coordinator a take care of everything their teach us  everything we don't know and they are to soft  to us.,They must support us for everything we do it.
7/17/2024 11:01:22,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"gaining confidence in reading
gaining knowledge in how to study and writing 
have knowledge to study computer","not having knowledge of how to use compute
not having confidence in myself to stand in front of people
not knowing how to ready loud ",The most improve the computer and also they most add more learning hubs because there's many students in each and every year,Neutral,i have learn to choose my career and to know what kind for personality Iam fitting in too and my gaining confidence in myself ,i will apply to study the next course that i choose as my future my career,Yes,yes because this program is very helpful and its many people who wish to study more course and to fulfill there dream career in future this program is are great starter for every one ,yes i feel free because its helpful for every one to share in the team as we are able to solve any problem with them,yes because they are still the BYA team for this year 
7/17/2024 11:01:42,Justicia Digital Learning Campus,The programme is currently meeting my expectations.,"1. Self confidence
2.Improved my vocabulary a little bit.
3.learnt how to use computer ","1.Difficulty  in speaking in front  of other students.
2.It was difficult for me to pay the commitment fee in time.
3.Difficulty in time management
","1.By purchasing a generator for our campuses incase there's load shedding
2. Give us free Wi-Fi
3.By giving us uniform",Yes,I've learnt my values and which careers do I fit in.,I will try to focus in class and speak English every time so that I can improve my vocabulary,Yes,"Because  this programme will build their confidence and they will know their values, weaknesses and their careers.",Thank you for being patient with me.,I hope you will be patient with me as the BYA Team was patient with me.
7/17/2024 11:02:00,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I have improved my English.
I know how to use a computer.
Self confidence.","Standing in front of people.
I was raining out of time.
I was don't know to use a computer ",By bringing computers to the campuses.,Yes,I have learn that I can use computer.,I will continue reading my books so that I can pass all my modules.,Yes,because I want them to achieved what I'm achieving,"Yes, I feel free because if have a problem I'm able to share with them so I can get a assents",I'm happy to meet them because they helped me during time of needs.
7/17/2024 11:05:31,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I gain more knowledge and self confidence, computer information",Computer sometimes have a problem,more computar,Yes,I learn that i can use a computer,I can  aplay to study again ,Yes,Is just i need some another people to learn.,Yes i feel free.,Yes i feel free
7/17/2024 11:09:34,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I gained more knowledge about computer
I improve English  
I know my career I want","Feeling scared to stand in front of others to present
Feeling afraid to respond questions in class 
Feeling scared of others","They have to improve hub learnings, computers and generators since we have load shading",Yes,I have learn that I know my career I choose and I know how deal with situations,I will continue to apply for the study choice I have choose  ,Yes,Because we all share what we want in future and even our careers,They treat me well ,They treat each other well
7/17/2024 11:13:22,Dumphries Digital Learning Campus,The programme is not meeting my expectations at all.,"We learn new things. 
Able to access to new things.
 I'm able to talk freely with anyone",No challenges,By adding new things that student will learn.,Yes,That I should know what I want in life .,Apply to go and study for teaching.,Yes,Because we learn new things and be able to gain confidence. ,Yes I feel free,Yes I feel free
7/17/2024 11:14:51,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,they always treate us equally,to be ready to write an exam,so far i dont see anything to improve you still right,Yes,that im smart,being good to speak english,Yes,because GWF help a lot of people confidence,im gaining confidence because of you guys im not even afraid to speak english,we have made friends you are good people to me
7/17/2024 11:17:28,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have gained computer skills.
I have improved my English.
I have learned more about career choices and now I know which career is suitable for me.","The computers are short because there are many students.
",You should buy a generator so that even when there's load shedding we will also be able to learn.,Yes,I am able to choose a career of my choice.,I will make sure that I pass my modules with 95% and above.,Yes,Because we learn a lot of things other than computer literacy.,You are the best facilitators and thank you for sharing your knowledge with us and for treating us equally. Keep it up.,You are the students that never judge others by their personality and you treat each other equally. Keep it up.
7/17/2024 11:17:39,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I am kind to others.
I love learning new things.
I now have a self confident."," No challenges.
",I will study very well and pass all my modules.,No,I learn to  know what I want and know my career and goals and my values.,I will improve my English skills and focus more on my studies.,Yes,Because it helps me to gain more know knowledge and know my career and goals.,I appreciate all them because they teach me to have a self confident and know my career and values., I feel happy to have them as my classmate they are kind and supportive.
7/17/2024 11:18:11,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"Enable to create a frame of mind
Exposure to new ideas
supported and encouraged",No challenge,"By accepting more students
Fix your computers",No,"That I have a goal I should follow and by the help of GWF I can fulfil what I want.
That I'm not a failure","I would focus more on my studies, and I would give my self more effort in my exams",Yes,Because most of the people in my community don't take education really,Thanks for accepting me here at GWF because since I'm here my life is changing and I know what are my goals now because of the help of them and as I was to give up with life but there words encourange me not to give up.,"Hy new student of 2024 feel at home, and feel comfortable GWF would change your life."
7/17/2024 11:19:34,Hazyview Digital Learning Campus,The programme is currently meeting my expectations.,"i've learned lot of things in this program
i've learned how to improve my english
i've learned how to use a money(money skills)","to do a presentation in front of my mates
to use a computer
to create a presentation",BYA needs a person who want to achieve something in life,Yes,that i have to be petient and im not a failer,i want to pass all modules,Yes,becouse lot of becouse they became succesful in life becouse of this program,i like to thank my facilitators and dont change they way you treat students guys,i had a great time with you guys i enjoy be with my classmates and they know how to help others
7/17/2024 11:19:40,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I know my career
I know how to use a computer
I learn how communicate with others ",No challenges,Always pay attention on the facilitators ,No,I learn to stand to myself and know my career and goal that I want.,"I will apply at Hazyview ,send CV and volunteer at school.",Yes,Because they learn something from and sort some of their things ,I feel comfortable and I take them as my parents they way they treated us,They are treated equal and they are enjoying at BYA
7/17/2024 11:20:29,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"good people , our teachers knows what they are teaching us","undermining , gossiping and pretending ",by giving students chance to teach others,Yes,To respect my teachers ,I will try to be more active,Yes,Because i want them to know more about Good Work Foundation,You are the best teachers ever continue with your jib you are doing the right thing,"You guys make me miss you every single more special my class you where the best you were loved by me and thank you for teaching me how to love , stand in front of people , kind and etc. Thank you "
7/17/2024 11:23:15,Huntington Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,Be obedient on you works. Don't doubt asking if you aren't sure of what you wanted to do. Be  creative.,Be patients. Caring is the best way in life. Inspire change to live are better life.,By alerting all close schools with GWF how patients they a.,No,"Good in facing people, More knowledge I got.",Marketing for the job because I'll be having more opportunities on my certificate.,No,Am not that person to recommend others.,To honestly I got loved and They trained me Intense I was not aware of kindness they a.,I enjoy spending time with you guys I'll miss you a lot guys and I also wish all of you the best luck.
7/17/2024 11:23:49,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"So far they are improving my English ,confidence and know how to use computer",There is no challenges so far,there is nothing to improve here everything it is good they know how to teach their students with love and respect,No,I learnt how to treat other people with love and respect also how to use a computer,I want to go to college and complete my studies,Yes,I want other people next yea to know how to use a computer and know what they want to be in future,I would like to thank my facilitators to all the things that they done to me so far and i want them to continue showing other students the love that they showing me,2024 students are good i did not seen a student disrespecting anyone here they are a good student i love them we treat each other good
7/17/2024 11:24:57,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I gain more confidence 
more skills become develop
I become more flexible","Lack of clarity
Time management
Adapt to change",Improve opportunities after completing the Programm,Yes,I have learnt that I am curious and I got leadership and communication Skills,I will confidently teach other people what I learnt,Yes,It teaches digital learning as we need to know how to use computer in order to set on something online ,Hardworking is directly proportional to success,Working hard pays
7/17/2024 11:25:39,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,I have experienced that having a computer knowledge is important and also you have to have self confidence.  ,I did not have experience  any challenges ,there is nothing that you have to improve everything is doing well,Yes,I have learnt that I have to improve myself a self confidence,I want to study Hospitality,Yes,Because they have been treated me so well  and teach me to improve my english,I want to say that you guys know your job very well you make  us understand everything that you tought us,I want to say that thank you to you guys to make me understand everything 
7/17/2024 11:25:55,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I am more motivated.
I became more flexible.
I improved some skills.","Time management
Adapt to change
Lack of clarity",Improve jobs opportunities.,Yes,To believe in my self.,Work hard to bring better results.,Yes,I want them to gain more knowledge like I did.,Being a BYA student it is a pleasure to me.,I appreciate them for being best classmate who got love .
7/17/2024 11:27:46,Lilydale Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I am ore motivated, flexible and gained self confidence.","Lack of clarity, adapt to change and time management.",Improve job opportunities after completing the program.,Yes,I have learned that when you do more presentations you gain more self confidence.,I will do my best on my studies in order to pass well.,Yes,"It fits perfectly since this time most of the things evolve around a computer such as copying ,printing and creating posters.",So far it is good working with you and I hope we will work well until the end of the year.,It is well working with you guys let us keep learning.
7/17/2024 11:28:10,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"I experienced that I must pull up my sock on my studies
Respect my classmates and my facilitators
 ",Sometimes we disrespect each other as students,By sticking together,Yes,I learn to wear respected cloth,Continue with my studies,Yes,Because it teach us a lot,Threat us equal,We must focus on our studies
7/17/2024 11:29:24,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"my life style is enhanced
I have become more flexible 
And I have embraced changes ","Time management
Lack of clarity
adapt to change ",they have to develop more job opportunity after graduating,Yes,I have learnt that I have to be confidence for I to achieve many things,If I would be grated a chance to teach others i will surely do it so they can be more confidence than i am,Yes,they will learn many things in this industry and also gain confidence if they don't,"Gratitude to the Facilitators you are doing the best , appreciation to you all you are doing a great job.","You did an awesome job to be here ,you will never regret"
7/17/2024 11:29:31,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I become more flexible
It develop more skills for me
I gain self confidence","Adapt to change
Lake of clarity
Time management",To promote digital learning,Yes,I have learnt that I'm curious I want to know more about what I'm doing at GWF,To tell those who are sitting at home that they must come to GWF and gain more knowladge,Yes,Because GWF it teach people for free and they promote digital learning,First I want to say things to my facilitators and the coordinator for teaching me how to use a computer and they do direct me to success,Thanks to all for giving me a chance to study at GWF
7/17/2024 11:29:46,Huntington Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"I have experienced  word processing, power point and excel",The challenges i have experienced so far is standing it was excel and ,by making them stick together and provide them with a great lesson,Yes,i have learnt what i want to be in life and how to set a goal.,i will be more passionate about my computer and i will be improving my English and gain more confidence,Yes,Because it teaches us a lot of things and it helps you to gain knowledge about computer and something else.,let's focus on what will make us succeed in life,let's focus on our studies
7/17/2024 11:30:39,Lilydale Digital Learning Campus,The programme is currently meeting my expectations.,"I became more flexible
I gain more confidence
more motivated
","Adapt to change
Lack of clarity
Time management ",improve job opportunities ,Yes,Having self confidence ,Working hard ,Yes,To help them gain access in technology and improvement of knowledge,Thank you all for bringing change into our lives,I appreciate all of you for the caring you have towards me I love you all
7/17/2024 11:43:56,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"ICDL.
Ready to work. 
Bite size.","Excel. 
how to use a computer.
Standing in front of people presenting.
",according to myself i think everything is fine in the BYA programme.,Yes,That i have to believe in myself and always work hard.,I will stay focused do all my school work and come to school early before my class start. ,Yes,Because  they will gain more knowlegde  and learn new things about how to use a computer they will also improve thier english and self confidence.,All my BYA Facilitator are treating us good and what they teach is what we get when we are writing our exams all i can say about then i can they are the best .,They are the best also they are always helping us when we struggle during our class's
7/17/2024 11:54:08,Huntington Digital Learning Campus,The programme is currently meeting my expectations.,"ICDL ,Employabilty and computers",its that i was telling myself to always get 90% to all my modules but i get 80%,by following instructions and make sho we always come to the class everyday ,Yes,its that i have many opportunity to get different skills and knowledge,apply for nature conservation,Yes,because people know that here in gwf we are learning computer well we are learning different modules  ,i  will like to say thinks to my team i have learn many things well we are working as team you have shown me a way in life to live,to student you have teacher different types of live am i thinks for that i have a communication skills 
7/17/2024 12:32:42,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,I have learn how to oparate  the computer.I  have learn how to communicate in englishe.I know how to open the computer,how to communicate in englishe.how to use the computer .and to write bite size.,add many programmes that deal with bya,Yes,i have learn how to communicate with other using englishe ,i will make sure that i pass all my modules,Yes,beacuase this programmer is the best way to make yourself knowing how to apply how to talk in english,your the best team ever  keep it up do it for us and others,our fa student are the bet team too they always be there for us the help us with our work
7/17/2024 12:33:36,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"Talking in front of people, knowing how to use a computer, My English is becoming better.",I don't see any challenges so far.,I don't see anything to be  improved so far everything is good.,Yes,I have learnt that i am capable of doing things as long as i want it i will do it.,I want to start reading as much as i can so i will be perfect on my English.,Yes,IT is helpfully i  even gained self confidence and it will help them to get jobs and on future.,I want to thank everyone here at DDLC for teaching us and guiding us through this year.,"Do your work with dedication and study hard in order to achieve what ever you want, the future is in your hands"
7/17/2024 12:34:05,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"They are patient with the students
Facilitators are doing the best the can for the students so they can pass their modules
They sacrifice their weekends time to come and teach us",No chellanges ,By expanding the campus so they will be able to accommodate many students,Yes,That i am patient and i have also learnt about my career path,Looking forward into studying further,Yes,Because i also want others to come and learn and also choose their careers and stick to them ,I am happy about the way you treat and us and how they are being patient to us,We must all respect all the facilitators and all other teachers in the campus
7/17/2024 12:34:08,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I know how to use computer, can stand in front of people and present and I know how to communicate in English better.","Speaking English that I'm not used to speak, being friends with strangers, doing team work.",Upgrade the number of facilitators.,Yes,That I must be responsible for myself and do what I love mostly.,I will go to college and upgrade my studies further.,Yes,Because they need to explore too and gain better knowledge.,"Yes, because they made me know how to communicate with new people.",The FA student are the most people who will make you feel at home with your family members as much as the facilitators.
7/17/2024 12:34:12,Dumphries Digital Learning Campus,The programme is exceeding (going above and beyond) my expectations.,"1.on how to use computer
2. to know different  career categories
3. I   am improving my  english ",No more challenges ,by adding a week for english leason only,Yes,I have learnt to know  my self at witch career do i feet in and what kind of job i feet in ,i will apply at the end of this year so then next year i will be study  to became a chef.,Yes,it was recommend to me by someone and I see it as a useful source .,"It is a great pleasure  for me to me one of the student of the good work foundation , at first i can see I am improving at my english , and I can also know how to use computer  and i also have an understanding about career categories as well.","It is a work of a team with out the work of a team we wont  be able to make it together , working as a team bring batter result to all "
7/17/2024 12:34:50,Dumphries Digital Learning Campus,The programme is currently meeting my expectations.,"I know how to use computer
I know how to communicate with other people
Facilitators they do not give up on us
",,They must stop allowing us speak in our home language in class,Yes,To know what i want with my life and the career i want,I am going to apply at Hazyview for Hospitality and also apply at UNISA,Yes,Because i also want them to come to learn what i am learning,"I thank you all for being good ,patient ",Respects all you facilitators and do not give them bad atittude
